"record_id","time","variable","response","part","question"
2,0,"p3_q1___2",0,"3","1___2"
2,0,"p3_q1___3",0,"3","1___3"
2,0,"p3_q1___4",0,"3","1___4"
2,0,"p3_q1___5",0,"3","1___5"
2,0,"p3_q1___6",0,"3","1___6"
2,0,"p4_q1",NA,"4","1"
2,0,"p4_q2",NA,"4","2"
2,0,"p4_q3",NA,"4","3"
2,0,"p4_q5",NA,"4","5"
2,0,"p4_q6",NA,"4","6"
2,0,"p4_q7",NA,"4","7"
2,0,"p4_q9",NA,"4","9"
2,0,"p4_q10",NA,"4","10"
2,0,"p4_q11",NA,"4","11"
2,0,"p4_q12",NA,"4","12"
2,0,"p4_q13",NA,"4","13"
2,0,"p4_q14",NA,"4","14"
2,0,"p4_q15",NA,"4","15"
2,0,"p4_q16",NA,"4","16"
2,0,"p4_q17",NA,"4","17"
2,0,"p4_q18",NA,"4","18"
2,0,"p4_q19",NA,"4","19"
2,0,"p4_q20",NA,"4","20"
2,0,"p4_q21",NA,"4","21"
2,0,"p4_q22",NA,"4","22"
2,0,"p4_q23",NA,"4","23"
2,0,"p4_q24",NA,"4","24"
3,0,"p1_q1",7,"1","1"
3,0,"p1_q2",7,"1","2"
3,0,"p1_q3",8,"1","3"
3,0,"p1_q4",5,"1","4"
3,0,"p1_q5",6,"1","5"
3,0,"p1_q6",8,"1","6"
3,0,"p1_q7",7,"1","7"
3,0,"p1_q8",9,"1","8"
3,0,"p1_q9",4,"1","9"
3,0,"p1_q10",3,"1","10"
3,0,"p1_q11",8,"1","11"
3,0,"p1_q12",9,"1","12"
3,0,"p1_q13",2,"1","13"
3,0,"p1_q14",4,"1","14"
3,0,"p1_q15",8,"1","15"
3,0,"p1_q16",9,"1","16"
3,0,"p1_q17",6,"1","17"
3,0,"p1_q18",5,"1","18"
3,0,"p1_q19",4,"1","19"
3,0,"p1_q20",9,"1","20"
3,0,"p1_q22",8,"1","22"
3,0,"p1_q21",9,"1","21"
3,0,"p1_q23",9,"1","23"
3,0,"p1_q24",9,"1","24"
3,0,"p1_q25",9,"1","25"
3,0,"p1_q26",9,"1","26"
3,0,"p1_q27",9,"1","27"
3,0,"p1_q28",9,"1","28"
3,0,"p1_q29",6,"1","29"
3,0,"p1_q30",4,"1","30"
3,0,"p1_q31",6,"1","31"
3,0,"p1_q32",9,"1","32"
3,0,"p1_q33",5,"1","33"
3,0,"p1_q34",8,"1","34"
3,0,"p1_q35",4,"1","35"
3,0,"p1_q36",4,"1","36"
3,0,"p1_q37",6,"1","37"
3,0,"p1_q38",7,"1","38"
3,0,"p1_q39",7,"1","39"
3,0,"p1_q40",8,"1","40"
3,0,"p1_q41",3,"1","41"
3,0,"p2_example",0,"2",NA
3,0,"p2_q1a",1,"2","1a"
3,0,"p2_q2a",2,"2","2a"
3,0,"p2_q3a",1,"2","3a"
3,0,"p2_q4a",2,"2","4a"
3,0,"p2_q5a",2,"2","5a"
3,0,"p2_q6a",2,"2","6a"
3,0,"p2_q7a",0,"2","7a"
3,0,"p2_q8a",1,"2","8a"
3,0,"p2_q9a",2,"2","9a"
3,0,"p2_q10a",2,"2","10a"
3,0,"p2_q11a",2,"2","11a"
